name,price_eur,display_inch,display_cm,display_resolution,display_ratio,weight_kg,height_mm,width_mm,depth_mm,operating_system,cpu_processor,ram_memory,gpu_integrated,gpu_extra,internal_storage_gb,storage_type,battery_life_h,battery_capacity_wh,psu_watts,audio_system,speakers_count,has_touchscreen,keyboard_backlit,keyboard_numpad,has_webcam,has_bluetooth,bluetooth_version,wifi_standard,product_ean,product_sku,release_year,category
Lenovo V15 G4 i51335U 8/256 SSD FHD W11P,676.77,15.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,1.97E+11,83A1002YGE,-,Notebooks
Lenovo ThinkPad T16 G2 i71355U 32GB/1TB SSD WUXGA W11P,2083.28,16,40.6,1920x1200,16:10,1.67,20.5,361.9,255.5,Windows 11 Pro,Intel SoC,16,Intel Iris Xe Graphics,-,1,SSD,-,52.5,65,Dolby Audio,2,TRUE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.98E+11,21HH007SGE,-,Notebooks
Fujitsu Lifebook U7613 WUXGA 16 i5 W11P,1585.99,16,40.6,1920x1200,-,1.45,20.9,357,249.3,Windows 11 Pro,i51335U,16,Intel Iris Xe Graphics,-,1,SSD,11.5,65,65,-,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.3,WiFi 6E (802.11ax),4.07E+12,VFY:U7613MF5EMDE,-,Notebooks
"Lenovo ThinkPad P15v G3 15"" i712700H 1x32GB/1TB Touch W11P",1896.57,15,39.6,1920x1080,16:09,2.1,22.7,366.5,250,Windows 11 Pro,Intel SoC,32,Intel Iris Xe Graphics,-,1,SSD,-,68,135,Dolby Audio Premium,2,TRUE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.97E+11,21D8005YGE,-,Notebooks
"MSI Summit E13 FlipEvo A13MT233 13.4"" i71360P/16GB/1TB W11P",1998.99,13.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,4.71E+12,0013P3233,-,Notebooks
Fujitsu LIFEBOOK E5412A FHD 14 AMD Ryzen 7 W11P,760.94,14,35.6,1920x1080,-,1.35,19.9,322,211,Windows 11 Pro,5875U,16,AMD Radeon Graphics,-,512,SSD,14.5,60,65,-,-,FALSE,FALSE,FALSE,FALSE,TRUE,5.2,WiFi 6 (802.11ax),4.07E+12,VFY:E542AMHBAMDE,-,Notebooks
Dell Latitude 5540 I51345U 16GB 512GB SSD FHD W11P,1255.78,15.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,5.40E+12,KY2R0,-,Notebooks
Lenovo TP X1 CARBON G11 I71355U 32GB 1TB SSD 14.0 WUXGA W11P 4G,2513.66,14,35.6,1920x1200,16:10,1.12,15.4,315.6,222.5,Windows 11 Pro,Intel SoC,32,Intel Iris Xe Graphics,-,1,SSD,-,57,65,Dolby Atmos,4,FALSE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.98E+11,21HM006VGE,-,Notebooks
ACER TMP2165153K4 I71255U,762.67,15.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,4.71E+12,NX.B13EG.001,-,Notebooks
Acer TravelMate P2 TMP21554  Intel Core i71255U  Schiefer Schwarz,1010.98,15.6,39.6,1920x1080,-,1.9,19.9,359.7,245.3,Windows 11 Pro,i71255U,8,Intel Iris Xe Graphics,-,512,SSD,8.5,50,45,-,-,FALSE,FALSE,TRUE,FALSE,TRUE,5,WiFi 6 (802.11ax),4.71E+12,NX.VVAEG.002,-,Notebooks
LENOVO X13 YOGA G4 I51335U 8GB,1590.09,13.3,33.8,1920x1200,16:10,1.21,16.4,301.7,214.6,Windows 11 Pro,Intel SoC,8,Intel Iris Xe Graphics,-,256,SSD,-,54.7,65,Dolby Audio,2,TRUE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.98E+11,21F20020GE,-,Notebooks
LG Electronics 17ZB90R Notebook I7 16GB LPDDR4X 512GB SSD schwarz W11P,1226.92,17,43.2,2560x1600,16:10,1.35,17.8,380.2,260.1,Windows 11 Pro,i71360P,16,Intel Iris Xe Graphics,-,512,SSD,-,80,-,Dolby Atmos,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),8.81E+12,17ZB90RG.AP75G,-,Notebooks
